type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,1/25/2024 6:05,24.85065333,67.005295,3.8,7.4,,1.567,129,15,36,,
T,1/25/2024 6:05,24.85065,67.00530167,3.8,7.6,,1.285,137,14,36,,
T,1/25/2024 6:05,24.85065,67.0053,1.2,7.5,,0.949,152,14,36,,
T,1/25/2024 6:05,24.85065167,67.00530167,1.8,7.6,,0.729,3,15,36,,
T,1/25/2024 6:05,24.850655,67.0053,2.1,7.8,,0.669,9,16,36,,
T,1/25/2024 6:05,24.85065667,67.00529333,2.3,8,,0.599,336,15,36,,
T,1/25/2024 6:05,24.850655,67.00527833,2.4,8.1,,0.542,328,16,36,,
T,1/25/2024 6:05,24.85063,67.005255,2.3,8.6,,0.525,286,16,36,,
T,1/25/2024 6:05,24.850615,67.00523667,2.3,8.8,,0.543,293,17,36,,
T,1/25/2024 6:05,24.8506,67.00521833,2.2,9.2,,0.585,263,18,36,,
T,1/25/2024 6:05,24.85058833,67.005195,2.2,9.5,,0.648,248,18,36,,
T,1/25/2024 6:05,24.85057333,67.00517667,2.1,9.7,,0.716,256,20,36,,
T,1/25/2024 6:05,24.85056,67.00516167,2.1,9.9,,0.816,258,20,36,,
T,1/25/2024 6:05,24.85054667,67.00514333,2.1,10.1,,0.885,251,20,36,,
T,1/25/2024 6:05,24.85054,67.00512667,2.1,10.2,,0.951,269,20,36,,
T,1/25/2024 6:05,24.85053667,67.005115,2,10.3,,0.988,281,20,36,,
T,1/25/2024 6:05,24.850535,67.00510333,2,10.3,,1.038,269,20,36,,
T,1/25/2024 6:05,24.85053333,67.00508833,2,10.5,,1.106,283,20,36,,
T,1/25/2024 6:05,24.850535,67.00507667,2,10.7,,1.132,294,20,36,,
T,1/25/2024 6:05,24.850535,67.005065,2,10.9,,1.124,282,20,37,,
T,1/25/2024 6:05,24.85053333,67.00505333,2,11.1,,1.108,266,20,37,,
T,1/25/2024 6:05,24.85053333,67.00503833,2.1,11.3,,1.089,287,20,37,,
T,1/25/2024 6:05,24.85053167,67.00502167,2.1,11.5,,1.124,275,20,37,,
T,1/25/2024 6:05,24.85052833,67.00500167,2.1,11.7,,1.124,282,20,37,,
T,1/25/2024 6:05,24.85051833,67.00498167,2.1,11.8,,1.174,270,20,37,,
T,1/25/2024 6:05,24.85051667,67.004965,2.1,12,,1.202,273,20,37,,
T,1/25/2024 6:05,24.85051,67.00494833,2.1,12.3,,1.21,258,20,37,,
T,1/25/2024 6:05,24.85050833,67.00493167,2.1,12.6,,1.201,271,20,37,,
T,1/25/2024 6:05,24.85050833,67.004915,2.1,12.9,,1.214,259,20,37,,
T,1/25/2024 6:05,24.85050333,67.004905,2.2,13.2,,1.213,266,20,37,,
T,1/25/2024 6:05,24.85049833,67.004895,2.2,13.5,,1.212,272,20,37,,
T,1/25/2024 6:05,24.85049,67.004885,2.2,13.6,,1.214,268,20,37,,
T,1/25/2024 6:05,24.85048833,67.00487667,2.2,13.7,,1.157,263,20,37,,
T,1/25/2024 6:05,24.850485,67.00486833,2.2,13.8,,1.089,270,20,37,,
T,1/25/2024 6:05,24.85047167,67.00486167,2.2,13.9,,1.03,251,20,37,,
T,1/25/2024 6:05,24.85047167,67.00485167,2.2,14,,0.988,289,20,37,,
T,1/25/2024 6:05,24.85047167,67.00484333,2.2,14.1,,0.969,290,20,37,,
T,1/25/2024 6:05,24.85046333,67.00483,2.2,14.3,,0.925,263,20,37,,
T,1/25/2024 6:05,24.85046167,67.00481833,2.2,14.6,,0.93,272,20,37,,
T,1/25/2024 6:05,24.85046167,67.00480333,2.2,14.8,,0.999,273,20,37,,
T,1/25/2024 6:05,24.85045833,67.00478667,2.2,15.1,,1.011,254,20,37,,
T,1/25/2024 6:05,24.85045667,67.00477333,2.1,15.4,,1.032,271,20,37,,
T,1/25/2024 6:05,24.85045333,67.00476,2.1,15.6,,1.052,280,20,37,,
T,1/25/2024 6:05,24.85045167,67.004745,2.1,15.6,,1.104,268,20,37,,
T,1/25/2024 6:05,24.85044833,67.00472667,2,15.5,,1.162,269,20,37,,
T,1/25/2024 6:05,24.85044833,67.00471167,2,15.5,,1.208,272,20,37,,
T,1/25/2024 6:05,24.85044333,67.00469833,2,15.5,,1.22,267,20,37,,
T,1/25/2024 6:05,24.85044,67.00468667,1.9,15.3,,1.246,275,20,37,,
T,1/25/2024 6:05,24.85043833,67.004675,1.9,15,,1.233,269,20,37,,
T,1/25/2024 6:05,24.85043333,67.00465833,1.9,15,,1.182,276,19,37,,
T,1/25/2024 6:06,24.850435,67.004645,1.9,14.7,,1.179,304,19,37,,
T,1/25/2024 6:06,24.850435,67.00463333,1.9,14.3,,1.14,283,19,37,,
T,1/25/2024 6:06,24.850435,67.00462333,1.9,14.2,,1.122,288,19,37,,
T,1/25/2024 6:06,24.85043333,67.00461167,1.9,14.2,,1.075,293,20,37,,
T,1/25/2024 6:06,24.85043167,67.0046,1.8,14.3,,1.032,268,20,37,,
T,1/25/2024 6:06,24.85043167,67.00458667,1.8,14.1,,0.995,283,20,37,,
T,1/25/2024 6:06,24.850435,67.004575,1.8,14.2,,1.022,298,20,37,,
T,1/25/2024 6:06,24.85044167,67.00456167,1.8,14.2,,1.015,312,20,37,,
T,1/25/2024 6:06,24.850445,67.00455,1.9,14,,0.968,307,21,37,,
T,1/25/2024 6:06,24.85044833,67.00454167,1.9,14,,0.941,300,21,37,,
T,1/25/2024 6:06,24.850455,67.00452833,2,13.9,,0.929,308,21,37,,
T,1/25/2024 6:06,24.85046833,67.00451833,2,13.5,,0.957,314,21,37,,
T,1/25/2024 6:06,24.850485,67.00451333,2,13.3,,0.997,324,21,37,,
T,1/25/2024 6:06,24.8505,67.00450667,1.9,13.4,,1.034,328,21,37,,
T,1/25/2024 6:06,24.85051333,67.0045,1.9,13.2,,1.043,329,21,37,,
T,1/25/2024 6:06,24.85053,67.004495,1.9,13.3,,1.063,330,21,37,,
T,1/25/2024 6:06,24.85054167,67.00448667,2,13.6,,1.054,327,21,37,,
T,1/25/2024 6:06,24.85055167,67.00447833,2,13.6,,1.07,324,21,37,,
T,1/25/2024 6:06,24.85056167,67.00447,1.9,13.7,,1.123,323,21,37,,
T,1/25/2024 6:06,24.85057333,67.00446,1.9,13.6,,1.164,308,21,37,,
T,1/25/2024 6:06,24.85058333,67.00445,1.9,13.5,,1.191,296,21,37,,
T,1/25/2024 6:06,24.85059,67.00444,1.9,13.5,,1.193,294,21,37,,
T,1/25/2024 6:06,24.850595,67.00442667,1.9,13.2,,1.21,275,21,37,,
T,1/25/2024 6:06,24.85059167,67.00441167,1.9,12.8,,1.224,256,21,37,,
T,1/25/2024 6:06,24.85059333,67.004395,1.8,12.5,,1.261,287,21,37,,
T,1/25/2024 6:06,24.85059833,67.00437833,1.8,12.3,,1.239,289,20,37,,
T,1/25/2024 6:06,24.850595,67.004365,1.7,12.1,,1.239,250,20,37,,
T,1/25/2024 6:06,24.85059333,67.00435167,1.7,12.2,,1.245,252,20,37,,
T,1/25/2024 6:06,24.85059167,67.00434,1.7,12.2,,1.217,238,20,37,,
T,1/25/2024 6:06,24.850585,67.00433167,1.7,12,,1.197,230,20,37,,
T,1/25/2024 6:06,24.85058333,67.00432167,1.7,12,,1.182,236,20,37,,
T,1/25/2024 6:06,24.85057833,67.00431333,1.7,11.9,,1.179,245,20,37,,
T,1/25/2024 6:06,24.85057333,67.00430167,1.7,11.9,,1.153,235,20,37,,
T,1/25/2024 6:06,24.850565,67.00429167,1.7,11.8,,1.139,226,19,37,,
T,1/25/2024 6:06,24.85055833,67.00428333,1.8,11.8,,1.076,223,20,37,,
T,1/25/2024 6:06,24.85055333,67.00427667,1.8,11.8,,1.09,206,21,37,,
T,1/25/2024 6:06,24.850545,67.00427167,1.8,11.8,,1.065,197,21,37,,
T,1/25/2024 6:06,24.85053333,67.00426833,1.8,11.9,,1.064,197,21,37,,
T,1/25/2024 6:06,24.85051833,67.00427,1.8,12,,1.088,163,21,37,,
T,1/25/2024 6:06,24.85050333,67.00427167,1.8,12,,1.091,164,21,37,,
T,1/25/2024 6:06,24.85049167,67.00427167,1.9,11.9,,1.078,171,21,37,,
T,1/25/2024 6:06,24.85048167,67.00427333,1.9,11.8,,1.055,142,21,37,,
T,1/25/2024 6:06,24.85047333,67.00427667,2,12,,1.027,168,21,37,,
T,1/25/2024 6:06,24.850465,67.004275,2.2,12.2,,0.979,186,21,37,,
T,1/25/2024 6:06,24.850455,67.00427167,2.3,12.4,,0.944,197,21,37,,
T,1/25/2024 6:06,24.85044167,67.00427,2.5,12.5,,0.915,182,21,37,,
T,1/25/2024 6:06,24.85043,67.00426833,2.6,12.5,,0,,21,37,,
T,1/25/2024 6:06,24.85041,67.00426333,2.7,12.4,,0,,20,37,,
T,1/25/2024 6:06,24.85039833,67.00426,2.7,12.3,,0,,19,37,,
T,1/25/2024 6:06,24.85039167,67.00425833,2.8,12.3,,0,,19,37,,
T,1/25/2024 6:06,24.85038667,67.00426,2.9,12.2,,0,,19,37,,
T,1/25/2024 6:06,24.85038667,67.00425833,2.9,12.2,,0,,19,37,,
T,1/25/2024 6:06,24.850385,67.004255,2.9,11.9,,0,,19,37,,
T,1/25/2024 6:06,24.850385,67.00425667,2.9,11.6,,0,,19,37,,
T,1/25/2024 6:06,24.85038333,67.00425667,2.9,11.2,,0,,19,37,,
T,1/25/2024 6:06,24.850385,67.00425667,2.9,11,,0,,19,37,,
T,1/25/2024 6:06,24.85038333,67.00425667,1.2,11.2,,0,,19,37,,
T,1/25/2024 6:06,24.850385,67.004255,1.1,11.1,,0,,19,37,,
